Africa	n.非洲	['æfrɪkə]
shower	n.&v.淋浴;淋浴器(间)	['ʃaʊə]
shyly	adv. 害羞地；羞怯地；胆怯地 ['ʃaɪli]
shyness	n.害羞；腼腆	['ʃaɪnəs]
silence	n. 沉默; 缄默; 无声	['saɪləns]
silent	不说话的；沉默的	['saɪlənt]
silly	adj. 愚蠢的; 不明事理的	['sɪli]
simple	adj.简单的;易做的	['sɪmp(ə)l]
simply	adv. 仅仅; 只; 不过	['sɪmpli]
singer	n.歌手	['sɪŋə]
sister	n.姐;妹	['sɪstə]
sixty	num.六十	['sɪksti]
snowman	n.雪人	['snəʊˌmæn]
soccer	n.(英式)足球	['sɒkə]
social	adj. 社会的	['səʊʃl]
sofa	n.沙发	['səʊfə]
somebody	pron.某人 n.重要人物	['sʌmbədi]
someone	pron.某人	['sʌmwʌn]
something	pron.某事;某物	['sʌmθɪŋ]
sometimes	adv.有时	['sʌmtaɪmz]
somewhere	adv. 在某处; 到某处	['sʌmweə], ['sʌmwer]
sorry	adj.抱歉的;难过的;惋惜的	['sɒri]
sour	酸的；有酸味的	['saʊə]
southern	adj. 南方的	['sʌðə(r)n]
speaker	讲（某种语言）的人；发言者	['spiːkə]
special	n.&adj.特色菜;特价品;特别的;特殊的	['speʃəl]
spirit	n. 勇气; 意志	['spɪrɪt]
sportspeople	n. 爱好运动的人；运动员['spɔ:tspi:pl] 
spotlight	n. 聚光灯；公众注意的中心	['spɒtlaɪt]
standard	标准；水平	['stændəd]
station	n.电(视)台;车站	['steɪʃn]
stepmother	n. 继母	['stepmʌðə(r)]
stepsister	n. 继姐（妹）	['stepsɪstə(r)]
stomach	n.胃;腹部	['stʌmək]
stomachache	n.胃痛;腹痛	['stʌməkeɪk]
story	n.故事;小说	['stɔːri]
stranger	n. 陌生人	['streɪndʒə]
strawberry	n.草莓	['strɔːbəri],['strɔːberi]
student	n.学生	['stjuːdnt]
study	v.&n.学习;研究	['stʌdi]
stupid	adj. 愚蠢的	['stju:pɪd], ['stu:pɪd]
subject	主题；话题	['sʌbdʒɪkt]
subject n.学科;科目	['sʌbdʒɪkt]
subway	n.地铁	['sʌbweɪ]
sudden	突然（的）	['sʌd(ə)n]
suddenly	adv. 突然; 忽然	['sʌdənli]
sugar	n.食糖	['ʃʊgə]
summer	n.夏天;夏季	['sʌmə]
sunburned	adj. 晒伤的	['sʌnbɜ:(r)nd]
sunny	adj.晴朗的	['sʌni]
sunshine	n.阳光	['sʌnʃaɪn]
surface	表面；表层	['sɜːfɪs]
survey	n. 调查；测验	['sɜːveɪ]
sweater	n.毛衣	['swetə]
symbol	n.象征	['sɪmbl]
table	n.桌子	['teɪbl]
takeaway 	 n. 外卖食物 	['teɪkəweɪ]
talent	n.天资;天赋	['tælənt]
talented	adj.有才能的;有才干的	['tæləntɪd]
taxi	n.出租汽车;的士	['tæksi]
teacher	n.老师;教师	['tiːtʃə]
teenage	 adj. 十几岁的；青少年的	['tiːneɪdʒ]
teenager	n.(13-19岁的)青少年	['tiːneɪdʒə]
telephone	n. 电话;电话机	['telɪfəʊn]
television	n.电视节目;电视机	['telɪˌvɪʒn]
tennis	n.网球	['tenɪs]
terrible	adj.非常讨厌的;可怕的	['terəbl]
terrorist	n. 恐怖主义者; 恐怖分子	['terərɪst]
textbook	教科书；课本	['tekstbʊk]
thankful	 adj. 感谢；感激	['θæŋkfl]
the Amazon River	亚马逊河	['æməzən], ['æməzɑ:n]
the Beatles	披头士乐队（英国）	['bi:tlz]
the Caspian Sea	里海（世界最大的咸水湖）	['kæspiən]
the Ming Dynasty	明朝	['dɪnəsti], ['daɪnəsti]
the Yangtze River	长江	['jæŋzɪ]
therefore	adv. 因此	['ðeəfɔː]
thirsty	口渴的；渴望的	['θɜːsti]
thirty	num.三十	['θɜːti]
thousand	num. 一千	['θaʊznd]
thrilling	adj. 令人激动的；令人震颤的	['θrɪlɪŋ]
ticket	n.票;入场券	['tɪkɪt]
tidy	adj.整洁的;井井有条的	['taɪdi]
tiger	n.老虎	['taɪgə]
tiny	adj.极小的；微小的	['taɪni]
tired	adj.疲倦的;疲劳的	['taɪəd]
tiring	adj. 引发疲劳的；累人的	['taɪərɪŋ]
tofu	n.豆腐	['təʊfuː]
toilet	n. 坐便器; 厕所	['tɔɪlət]
toothache	n. 牙痛	['tu:θeɪk]
total	总数；合计adj. 总的；全体的	['təʊt(ə)l]
tourist	n. 旅行者; 观光者	['tʊərɪst], ['tʊrɪst]
touristy	adj. 游客很多的；游客常去的；适合游览的	['tʊərɪsti]
tower	n. 塔; 塔楼	['taʊə(r)]
traffic	n.交通；路上行驶的车辆	['træfɪk],['træfɪk]
training	n. 训练; 培训	['treɪnɪŋ]
travel	v.&n.旅游;游历	['trævl]
traveler n.漂泊者，旅行者，游客 ['træv(ə)lə]
treasure	n. 珠宝; 财富	['treʒə(r)]
trousers	n.(pl.)裤子	['traʊzəz]
truly	adv.真正;确实	['truːli]
truthful	adj. 诚实的; 真实的	['tru:θfl]
turkey	n.火鸡	['tɜːki]
twentieth	num.第二十	['twentiəθ]
twenty	num.二十	['twenti]
typical	adj. 典型的	['tɪpɪkl]
ugly	丑陋的；难看的	['ʌɡli]
uncle	n.舅父;叔父;伯父;姑父;姨父	['ʌŋkl]
under	prep.在…下	['ʌndə]
underground	adj. 地下的，n. 地铁	['ʌndəgraʊnd]
underwear	n. 内衣	['ʌndəweə], ['ʌndərwer]
uniform	n.校服;制服	['juːnɪfɔːm]
useful	adj.有用的;有益的	['juːsfl]
usual	adj. 通常的; 寻常的	['ju:ʒuəl]
value	重视；珍视n.价值	['væljuː]
vegetable	n．蔬菜	['vedʒtəbl]
very	adv.很;非常	['veri]
victory	胜利；成功	['vɪktəri]
village	n.村庄;村镇	['vɪlɪdʒ]
villager	n.村民	['vɪlɪdʒə]
visit	v.拜访;参观	['vɪzɪt]
visitor	n.游客;访问者	['vɪzɪtə]
volleyball	n.排球	['vɒlibɔːl]
wallet	n.钱包	['wɒlɪt]
washroom	洗手间；厕所	['wɒʃruːm]
water	n.水	['wɔːtə]
watermelon	n.西瓜	['wɔːtəmelən]
weather	n.天气	['weðə]
weekday	n.工作日(星期一至星期五的任何一天)	['wiːkdeɪ]
weekend	n.周末	['wiːk'end]_
weekly	adj.&adv.每周的(地)	['wiːkli]
welcome	adj.受欢迎的	['welkəm]
whether	conj. 不管......（还是）; 或者......（或者）; 是否	['weðə(r)]
widely	广泛地；普遍地	['waɪdli]
willing	adj. 乐惫的；自愿的；心甘情愿的	['wɪlɪŋ]
window	n. 窗; 窗户	['wɪndəʊ]
windy	adj.多风的	['wɪndi]
winner	n.获胜者;优胜者	['wɪnə]
winter	n.冬天;冬季	['wɪntə]
woman (pl.women ['wɪmɪn])	n.女子	['wʊmən]
wonder	v.想知道;琢磨　 	['wʌndə]
wonderful	adj.精彩的;绝妙的　	['wʌndəfl]
wooden	木制的；木头的	['wʊd(ə)n]
workday	 n. 工作日	['wɜːkdeɪ]
worker	n. 工作者；工人	['wɜːkə]
writer	n.作者;作家	['raɪtə]
yellow	adj.＆n.黄色(的)	['jeləʊ]
yesterday	adv.昨天	['jestədi]
zero	num.零	['zɪərəʊ]
zipper n.（=zip）拉链；拉锁	['zɪpə(r)]
